period,stateid,stateDescription,sectorid,sectorName,price,sales,price-units,sales-units
2024-05,WY,Wyoming,RES,residential,12.81,202.4414,cents per kilowatthour,million kilowatthours
2024-05,WI,Wisconsin,RES,residential,17.82,1534.25622,cents per kilowatthour,million kilowatthours
2024-05,WV,West Virginia,RES,residential,15.98,683.87592,cents per kilowatthour,million kilowatthours
2024-05,WA,Washington,RES,residential,12.16,2717.95922,cents per kilowatthour,million kilowatthours
2024-05,VA,Virginia,RES,residential,15.02,3108.71274,cents per kilowatthour,million kilowatthours
2024-05,VT,Vermont,RES,residential,22.3,151.17024,cents per kilowatthour,million kilowatthours
2024-05,UT,Utah,RES,residential,11.01,769.59233,cents per kilowatthour,million kilowatthours
2024-05,TX,Texas,RES,residential,14.74,12605.55786,cents per kilowatthour,million kilowatthours
2024-05,TN,Tennessee,RES,residential,12.46,2950.79861,cents per kilowatthour,million kilowatthours
2024-05,SD,South Dakota,RES,residential,13.63,337.73466,cents per kilowatthour,million kilowatthours
2024-05,SC,South Carolina,RES,residential,14.07,2475.55994,cents per kilowatthour,million kilowatthours
2024-05,RI,Rhode Island,RES,residential,28.09,209.02336,cents per kilowatthour,million kilowatthours
2024-05,PA,Pennsylvania,RES,residential,18.1,4692.61735,cents per kilowatthour,million kilowatthours
2024-05,OR,Oregon,RES,residential,15.03,1351.7101,cents per kilowatthour,million kilowatthours
2024-05,OK,Oklahoma,RES,residential,11.7,1762.62862,cents per kilowatthour,million kilowatthours
2024-05,OH,Ohio,RES,residential,16.65,3652.10256,cents per kilowatthour,million kilowatthours
2024-05,ND,North Dakota,RES,residential,13.04,304.47722,cents per kilowatthour,million kilowatthours
2024-05,NC,North Carolina,RES,residential,14.18,4567.11132,cents per kilowatthour,million kilowatthours
2024-05,NY,New York,RES,residential,23.6,3370.65074,cents per kilowatthour,million kilowatthours
2024-05,NM,New Mexico,RES,residential,13.84,520.531,cents per kilowatthour,million kilowatthours
2024-05,NJ,New Jersey,RES,residential,18.58,2144.62638,cents per kilowatthour,million kilowatthours
2024-05,NH,New Hampshire,RES,residential,23.01,326.2355,cents per kilowatthour,million kilowatthours
2024-05,NV,Nevada,RES,residential,16.18,1070.86919,cents per kilowatthour,million kilowatthours
2024-05,NE,Nebraska,RES,residential,12.22,678.39184,cents per kilowatthour,million kilowatthours
2024-05,MT,Montana,RES,residential,13.26,395.944,cents per kilowatthour,million kilowatthours
2024-05,MO,Missouri,RES,residential,12.62,2430.86948,cents per kilowatthour,million kilowatthours
2024-05,MS,Mississippi,RES,residential,13.86,1390.78406,cents per kilowatthour,million kilowatthours
2024-05,CA,California,RES,residential,34.31,5270.49171,cents per kilowatthour,million kilowatthours
2024-05,AR,Arkansas,RES,residential,12.27,1234.88068,cents per kilowatthour,million kilowatthours
2024-05,AZ,Arizona,RES,residential,15.5,3091.31775,cents per kilowatthour,million kilowatthours
2024-05,AK,Alaska,RES,residential,25.02,149.48886,cents per kilowatthour,million kilowatthours
2024-04,SAT,South Atlantic,RES,residential,15,24513.13648,cents per kilowatthour,million kilowatthours
2024-04,LA,Louisiana,RES,residential,12.08,1792.78495,cents per kilowatthour,million kilowatthours
2024-04,KY,Kentucky,RES,residential,13,1682.8654,cents per kilowatthour,million kilowatthours
2024-04,KS,Kansas,RES,residential,14.38,820.0969,cents per kilowatthour,million kilowatthours
2024-04,IA,Iowa,RES,residential,13.1,1033.92468,cents per kilowatthour,million kilowatthours
2024-04,IN,Indiana,RES,residential,15.33,2132.79493,cents per kilowatthour,million kilowatthours
2024-04,IL,Illinois,RES,residential,16.68,2812.99621,cents per kilowatthour,million kilowatthours
2024-04,ID,Idaho,RES,residential,11.45,662.7971,cents per kilowatthour,million kilowatthours
2024-04,HI,Hawaii,RES,residential,45.19,195.43844,cents per kilowatthour,million kilowatthours
2024-04,GA,Georgia,RES,residential,14.1,3841.52847,cents per kilowatthour,million kilowatthours
2024-04,FL,Florida,RES,residential,14.65,9148.36527,cents per kilowatthour,million kilowatthours
2024-04,DC,District of Columbia,RES,residential,17.85,156.10327,cents per kilowatthour,million kilowatthours
2024-04,DE,Delaware,RES,residential,18.28,340.6863,cents per kilowatthour,million kilowatthours
2024-04,CT,Connecticut,RES,residential,29.58,878.38733,cents per kilowatthour,million kilowatthours
2024-04,CO,Colorado,RES,residential,14.77,1375.82601,cents per kilowatthour,million kilowatthours
2024-04,WNC,West North Central,RES,residential,13.3,7139.10598,cents per kilowatthour,million kilowatthours
2024-04,ENC,East North Central,RES,residential,17.02,12257.96362,cents per kilowatthour,million kilowatthours
2024-04,MAT,Middle Atlantic,RES,residential,19.78,10131.72775,cents per kilowatthour,million kilowatthours
2024-04,NEW,New England,RES,residential,27.31,3506.85155,cents per kilowatthour,million kilowatthours
2024-04,WY,Wyoming,RES,residential,12.2,228.84192,cents per kilowatthour,million kilowatthours
2024-04,CA,California,RES,residential,34.26,5414.58377,cents per kilowatthour,million kilowatthours
2024-04,AR,Arkansas,RES,residential,12.6,1092.82679,cents per kilowatthour,million kilowatthours
2024-04,AZ,Arizona,RES,residential,15.24,2290.18959,cents per kilowatthour,million kilowatthours
2024-04,AK,Alaska,RES,residential,24.89,163.52872,cents per kilowatthour,million kilowatthours
2024-04,AL,Alabama,RES,residential,15.85,1952.08615,cents per kilowatthour,million kilowatthours
2024-04,WI,Wisconsin,RES,residential,17.31,1558.14975,cents per kilowatthour,million kilowatthours
2024-04,WV,West Virginia,RES,residential,15.56,679.63232,cents per kilowatthour,million kilowatthours
2024-04,WA,Washington,RES,residential,11.84,3039.77756,cents per kilowatthour,million kilowatthours
2024-04,VA,Virginia,RES,residential,14.99,2781.59753,cents per kilowatthour,million kilowatthours
2024-04,VT,Vermont,RES,residential,21.85,162.15358,cents per kilowatthour,million kilowatthours
2024-04,UT,Utah,RES,residential,11.07,705.84619,cents per kilowatthour,million kilowatthours
2024-04,TX,Texas,RES,residential,15.02,9668.77528,cents per kilowatthour,million kilowatthours
2024-04,TN,Tennessee,RES,residential,12.76,2798.68536,cents per kilowatthour,million kilowatthours
2024-04,SD,South Dakota,RES,residential,12.84,391.25667,cents per kilowatthour,million kilowatthours
2024-04,SC,South Carolina,RES,residential,14.9,1986.00377,cents per kilowatthour,million kilowatthours
2024-04,RI,Rhode Island,RES,residential,27.93,211.09353,cents per kilowatthour,million kilowatthours
2024-04,PA,Pennsylvania,RES,residential,17.95,4778.20614,cents per kilowatthour,million kilowatthours
2024-04,OR,Oregon,RES,residential,14.6,1447.77457,cents per kilowatthour,million kilowatthours
2024-04,OK,Oklahoma,RES,residential,12.46,1378.12656,cents per kilowatthour,million kilowatthours
2024-04,OH,Ohio,RES,residential,16.75,3502.81451,cents per kilowatthour,million kilowatthours
2024-04,ND,North Dakota,RES,residential,11.33,363.054,cents per kilowatthour,million kilowatthours
2024-04,NC,North Carolina,RES,residential,14.98,3851.08634,cents per kilowatthour,million kilowatthours
2024-04,NY,New York,RES,residential,22.97,3513.043,cents per kilowatthour,million kilowatthours
2024-04,NM,New Mexico,RES,residential,14.29,455.62615,cents per kilowatthour,million kilowatthours
2024-04,NJ,New Jersey,RES,residential,18.45,1840.4786,cents per kilowatthour,million kilowatthours
2024-04,NH,New Hampshire,RES,residential,23,342.76926,cents per kilowatthour,million kilowatthours
2024-04,NV,Nevada,RES,residential,16.59,801.73656,cents per kilowatthour,million kilowatthours
2024-04,NE,Nebraska,RES,residential,11.85,688.94906,cents per kilowatthour,million kilowatthours
2024-04,MT,Montana,RES,residential,12.52,437.87161,cents per kilowatthour,million kilowatthours
2024-04,MO,Missouri,RES,residential,12.52,2210.81413,cents per kilowatthour,million kilowatthours
2024-04,MS,Mississippi,RES,residential,14.64,1101.41601,cents per kilowatthour,million kilowatthours
2024-04,MN,Minnesota,RES,residential,15.08,1631.01056,cents per kilowatthour,million kilowatthours
2024-04,MI,Michigan,RES,residential,19.23,2251.20822,cents per kilowatthour,million kilowatthours
2024-04,MA,Massachusetts,RES,residential,29.5,1474.40845,cents per kilowatthour,million kilowatthours
2024-04,MD,Maryland,RES,residential,17.85,1728.13323,cents per kilowatthour,million kilowatthours
2024-04,ME,Maine,RES,residential,20.47,438.03941,cents per kilowatthour,million kilowatthours
2024-04,US,U.S. Total,RES,residential,16.88,96236.19008,cents per kilowatthour,million kilowatthours
2024-04,PACN,Pacific Noncontiguous,RES,residential,35.94,358.96716,cents per kilowatthour,million kilowatthours
2024-04,PACC,Pacific Contiguous,RES,residential,24.5,9902.13589,cents per kilowatthour,million kilowatthours
2024-04,MTN,Mountain,RES,residential,14.19,6958.73514,cents per kilowatthour,million kilowatthours
2024-04,WSC,West South Central,RES,residential,14.2,13932.51359,cents per kilowatthour,million kilowatthours
2024-04,ESC,East South Central,RES,residential,13.89,7535.05292,cents per kilowatthour,million kilowatthours
2024-03,TX,Texas,RES,residential,14.92,9391.61599,cents per kilowatthour,million kilowatthours
2024-03,MA,Massachusetts,RES,residential,29.66,1667.32748,cents per kilowatthour,million kilowatthours
2024-03,MD,Maryland,RES,residential,18.09,2074.90083,cents per kilowatthour,million kilowatthours
2024-03,ME,Maine,RES,residential,22.25,459.46404,cents per kilowatthour,million kilowatthours
2024-03,LA,Louisiana,RES,residential,12.38,1826.12144,cents per kilowatthour,million kilowatthours
2024-03,KY,Kentucky,RES,residential,13.01,1916.67081,cents per kilowatthour,million kilowatthours
2024-03,KS,Kansas,RES,residential,14.24,857.21133,cents per kilowatthour,million kilowatthours
2024-03,IA,Iowa,RES,residential,12.85,1148.62454,cents per kilowatthour,million kilowatthours
2024-03,IN,Indiana,RES,residential,14.53,2400.11611,cents per kilowatthour,million kilowatthours
2024-03,IL,Illinois,RES,residential,16.1,3077.34628,cents per kilowatthour,million kilowatthours
2024-03,ID,Idaho,RES,residential,11.07,832.877,cents per kilowatthour,million kilowatthours
2024-03,HI,Hawaii,RES,residential,45.25,195.48792,cents per kilowatthour,million kilowatthours
2024-03,GA,Georgia,RES,residential,13.57,3954.81088,cents per kilowatthour,million kilowatthours
2024-03,FL,Florida,RES,residential,14.69,8963.91565,cents per kilowatthour,million kilowatthours
2024-03,DC,District of Columbia,RES,residential,17.65,176.75239,cents per kilowatthour,million kilowatthours
2024-03,DE,Delaware,RES,residential,16.6,443.89911,cents per kilowatthour,million kilowatthours
2024-03,CT,Connecticut,RES,residential,29.12,983.11665,cents per kilowatthour,million kilowatthours
2024-03,CO,Colorado,RES,residential,14.64,1543.80512,cents per kilowatthour,million kilowatthours
2024-03,CA,California,RES,residential,32.47,5918.23139,cents per kilowatthour,million kilowatthours
2024-03,AR,Arkansas,RES,residential,12.88,1205.04663,cents per kilowatthour,million kilowatthours
2024-03,AZ,Arizona,RES,residential,14.95,2136.6935,cents per kilowatthour,million kilowatthours
2024-03,AK,Alaska,RES,residential,24.71,190.61423,cents per kilowatthour,million kilowatthours
2024-03,AL,Alabama,RES,residential,15.87,2062.74686,cents per kilowatthour,million kilowatthours
2024-03,OH,Ohio,RES,residential,16.28,3818.35256,cents per kilowatthour,million kilowatthours
2024-03,ND,North Dakota,RES,residential,10.44,480.59204,cents per kilowatthour,million kilowatthours
2024-03,NC,North Carolina,RES,residential,15.6,4084.99863,cents per kilowatthour,million kilowatthours
2024-03,NY,New York,RES,residential,23.64,3775.82088,cents per kilowatthour,million kilowatthours
2024-03,NM,New Mexico,RES,residential,14.49,480.69293,cents per kilowatthour,million kilowatthours
2024-03,NJ,New Jersey,RES,residential,18.04,1825.92001,cents per kilowatthour,million kilowatthours
2024-03,NH,New Hampshire,RES,residential,22.43,382.81703,cents per kilowatthour,million kilowatthours
2024-03,NV,Nevada,RES,residential,16.82,768.95715,cents per kilowatthour,million kilowatthours
2024-03,NE,Nebraska,RES,residential,11.61,787.86145,cents per kilowatthour,million kilowatthours
2024-03,MT,Montana,RES,residential,12.22,522.29996,cents per kilowatthour,million kilowatthours
2024-03,MO,Missouri,RES,residential,12.56,2451.33754,cents per kilowatthour,million kilowatthours
2024-03,MS,Mississippi,RES,residential,14.24,1181.06963,cents per kilowatthour,million kilowatthours
2024-03,MN,Minnesota,RES,residential,14.69,1866.53297,cents per kilowatthour,million kilowatthours
2024-03,MI,Michigan,RES,residential,18.7,2571.98349,cents per kilowatthour,million kilowatthours
2024-03,TN,Tennessee,RES,residential,13.17,3068.39674,cents per kilowatthour,million kilowatthours
2024-03,SD,South Dakota,RES,residential,12.31,445.89165,cents per kilowatthour,million kilowatthours
2024-03,SC,South Carolina,RES,residential,14.88,2052.51504,cents per kilowatthour,million kilowatthours
2024-03,RI,Rhode Island,RES,residential,30.26,230.49498,cents per kilowatthour,million kilowatthours
2024-03,PA,Pennsylvania,RES,residential,17.6,5543.72485,cents per kilowatthour,million kilowatthours
2024-03,OR,Oregon,RES,residential,14.32,1776.25403,cents per kilowatthour,million kilowatthours
2024-03,OK,Oklahoma,RES,residential,11.83,1499.25875,cents per kilowatthour,million kilowatthours
2024-03,US,U.S. Total,RES,residential,16.68,103974.48635,cents per kilowatthour,million kilowatthours
2024-03,PACN,Pacific Noncontiguous,RES,residential,35.11,386.10215,cents per kilowatthour,million kilowatthours
2024-03,PACC,Pacific Contiguous,RES,residential,22.94,11359.7233,cents per kilowatthour,million kilowatthours
2024-03,MTN,Mountain,RES,residential,13.86,7370.91069,cents per kilowatthour,million kilowatthours
2024-03,WSC,West South Central,RES,residential,14.08,13922.0428,cents per kilowatthour,million kilowatthours
2024-03,ESC,East South Central,RES,residential,13.96,8228.88404,cents per kilowatthour,million kilowatthours
2024-03,SAT,South Atlantic,RES,residential,15.03,25995.67596,cents per kilowatthour,million kilowatthours
2024-03,WNC,West North Central,RES,residential,13.04,8038.05152,cents per kilowatthour,million kilowatthours
2024-03,ENC,East North Central,RES,residential,16.48,13616.19574,cents per kilowatthour,million kilowatthours
2024-03,MAT,Middle Atlantic,RES,residential,19.72,11145.46574,cents per kilowatthour,million kilowatthours
2024-03,NEW,New England,RES,residential,27.6,3911.43442,cents per kilowatthour,million kilowatthours
2024-03,WY,Wyoming,RES,residential,11.68,279.34079,cents per kilowatthour,million kilowatthours
2024-03,WI,Wisconsin,RES,residential,16.96,1748.39731,cents per kilowatthour,million kilowatthours
2024-03,WV,West Virginia,RES,residential,15.31,864.87591,cents per kilowatthour,million kilowatthours
2024-03,WA,Washington,RES,residential,11.72,3665.23787,cents per kilowatthour,million kilowatthours
2024-03,VA,Virginia,RES,residential,14.72,3379.00753,cents per kilowatthour,million kilowatthours
2024-03,VT,Vermont,RES,residential,21.72,188.21425,cents per kilowatthour,million kilowatthours
2024-03,UT,Utah,RES,residential,11,806.24424,cents per kilowatthour,million kilowatthours
2024-02,RI,Rhode Island,RES,residential,30.97,247.67043,cents per kilowatthour,million kilowatthours
2024-02,ID,Idaho,RES,residential,11.26,872.04321,cents per kilowatthour,million kilowatthours
2024-02,HI,Hawaii,RES,residential,43.93,195.31835,cents per kilowatthour,million kilowatthours
2024-02,GA,Georgia,RES,residential,12.95,4776.33666,cents per kilowatthour,million kilowatthours
2024-02,FL,Florida,RES,residential,15.28,8871.48609,cents per kilowatthour,million kilowatthours
2024-02,DC,District of Columbia,RES,residential,17.1,204.41283,cents per kilowatthour,million kilowatthours
2024-02,DE,Delaware,RES,residential,15.73,463.23709,cents per kilowatthour,million kilowatthours
2024-02,CT,Connecticut,RES,residential,29.52,1053.54408,cents per kilowatthour,million kilowatthours
2024-02,IA,Iowa,RES,residential,12.15,1240.66451,cents per kilowatthour,million kilowatthours
2024-02,IN,Indiana,RES,residential,14.11,2876.17895,cents per kilowatthour,million kilowatthours
2024-02,IL,Illinois,RES,residential,15.72,3348.17445,cents per kilowatthour,million kilowatthours
2024-02,AZ,Arizona,RES,residential,14.46,2194.99493,cents per kilowatthour,million kilowatthours
2024-02,AK,Alaska,RES,residential,22.88,210.49844,cents per kilowatthour,million kilowatthours
2024-02,AL,Alabama,RES,residential,14.98,2588.88968,cents per kilowatthour,million kilowatthours
2024-02,CO,Colorado,RES,residential,14.47,1621.53381,cents per kilowatthour,million kilowatthours
2024-02,CA,California,RES,residential,31.23,6305.04278,cents per kilowatthour,million kilowatthours
2024-02,AR,Arkansas,RES,residential,11.89,1686.97167,cents per kilowatthour,million kilowatthours
2024-02,MD,Maryland,RES,residential,17.6,2389.91876,cents per kilowatthour,million kilowatthours
2024-02,ME,Maine,RES,residential,24.95,473.60599,cents per kilowatthour,million kilowatthours
2024-02,LA,Louisiana,RES,residential,11.25,2331.21821,cents per kilowatthour,million kilowatthours
2024-02,KY,Kentucky,RES,residential,12.48,2314.06391,cents per kilowatthour,million kilowatthours
2024-02,KS,Kansas,RES,residential,13.74,991.65646,cents per kilowatthour,million kilowatthours
2024-02,PA,Pennsylvania,RES,residential,17.02,5972.39333,cents per kilowatthour,million kilowatthours
2024-02,OR,Oregon,RES,residential,14.23,1827.20925,cents per kilowatthour,million kilowatthours
2024-02,OK,Oklahoma,RES,residential,11.3,1738.94517,cents per kilowatthour,million kilowatthours
2024-02,OH,Ohio,RES,residential,15.77,4373.51938,cents per kilowatthour,million kilowatthours
2024-02,ND,North Dakota,RES,residential,10.5,469.35052,cents per kilowatthour,million kilowatthours
2024-02,NC,North Carolina,RES,residential,15.1,5042.033,cents per kilowatthour,million kilowatthours
2024-02,NY,New York,RES,residential,24.23,4196.89239,cents per kilowatthour,million kilowatthours
2024-02,NM,New Mexico,RES,residential,14.14,561.54759,cents per kilowatthour,million kilowatthours
2024-02,NJ,New Jersey,RES,residential,17.69,2150.4948,cents per kilowatthour,million kilowatthours
2024-02,NH,New Hampshire,RES,residential,23.76,417.05482,cents per kilowatthour,million kilowatthours
2024-02,NV,Nevada,RES,residential,16.69,801.15038,cents per kilowatthour,million kilowatthours
2024-02,NE,Nebraska,RES,residential,10.72,852.49527,cents per kilowatthour,million kilowatthours
2024-02,MT,Montana,RES,residential,11.96,612.08019,cents per kilowatthour,million kilowatthours
2024-02,MO,Missouri,RES,residential,11.43,2947.98046,cents per kilowatthour,million kilowatthours
2024-02,MS,Mississippi,RES,residential,13.19,1592.51219,cents per kilowatthour,million kilowatthours
2024-02,MN,Minnesota,RES,residential,14.36,1928.53045,cents per kilowatthour,million kilowatthours
2024-02,MI,Michigan,RES,residential,18.57,2578.05862,cents per kilowatthour,million kilowatthours
2024-02,MA,Massachusetts,RES,residential,29.25,1759.65785,cents per kilowatthour,million kilowatthours
2024-02,US,U.S. Total,RES,residential,16.1,117715.59855,cents per kilowatthour,million kilowatthours
2024-02,PACN,Pacific Noncontiguous,RES,residential,33.01,405.81678,cents per kilowatthour,million kilowatthours
2024-02,PACC,Pacific Contiguous,RES,residential,22.3,11939.63323,cents per kilowatthour,million kilowatthours
2024-02,MTN,Mountain,RES,residential,13.63,7791.94564,cents per kilowatthour,million kilowatthours
2024-02,WSC,West South Central,RES,residential,13.36,17215.07297,cents per kilowatthour,million kilowatthours
2024-02,ESC,East South Central,RES,residential,12.99,10729.96223,cents per kilowatthour,million kilowatthours
2024-02,SAT,South Atlantic,RES,residential,14.76,29306.87679,cents per kilowatthour,million kilowatthours
2024-02,WNC,West North Central,RES,residential,12.33,8921.63304,cents per kilowatthour,million kilowatthours
2024-02,ENC,East North Central,RES,residential,16.06,14930.93162,cents per kilowatthour,million kilowatthours
2024-02,MAT,Middle Atlantic,RES,residential,19.59,12319.78051,cents per kilowatthour,million kilowatthours
2024-02,NEW,New England,RES,residential,27.99,4153.94574,cents per kilowatthour,million kilowatthours
2024-02,WY,Wyoming,RES,residential,11.47,293.14636,cents per kilowatthour,million kilowatthours
2024-02,WI,Wisconsin,RES,residential,16.93,1755.00022,cents per kilowatthour,million kilowatthours
2024-02,WV,West Virginia,RES,residential,13.98,1007.33126,cents per kilowatthour,million kilowatthours
2024-02,WA,Washington,RES,residential,11.4,3807.3812,cents per kilowatthour,million kilowatthours
2024-02,VA,Virginia,RES,residential,13.97,4026.30662,cents per kilowatthour,million kilowatthours
2024-02,VT,Vermont,RES,residential,21.22,202.41257,cents per kilowatthour,million kilowatthours
2024-02,UT,Utah,RES,residential,10.99,835.44919,cents per kilowatthour,million kilowatthours
2024-02,TX,Texas,RES,residential,14.31,11457.93792,cents per kilowatthour,million kilowatthours
2024-02,TN,Tennessee,RES,residential,11.98,4234.49645,cents per kilowatthour,million kilowatthours
2024-02,SD,South Dakota,RES,residential,11.79,490.95538,cents per kilowatthour,million kilowatthours
2024-02,SC,South Carolina,RES,residential,14.21,2525.81448,cents per kilowatthour,million kilowatthours
2024-01,MD,Maryland,RES,residential,17.48,2882.79278,cents per kilowatthour,million kilowatthours
2024-01,CO,Colorado,RES,residential,14.26,1831.30179,cents per kilowatthour,million kilowatthours
2024-01,CA,California,RES,residential,29.49,7557.23395,cents per kilowatthour,million kilowatthours
2024-01,AR,Arkansas,RES,residential,11.24,2092.56172,cents per kilowatthour,million kilowatthours
2024-01,AZ,Arizona,RES,residential,14.11,2736.43727,cents per kilowatthour,million kilowatthours
2024-01,AK,Alaska,RES,residential,23.78,228.44932,cents per kilowatthour,million kilowatthours
2024-01,AL,Alabama,RES,residential,14.4,3496.0344,cents per kilowatthour,million kilowatthours
2024-01,HI,Hawaii,RES,residential,44.28,227.43747,cents per kilowatthour,million kilowatthours
2024-01,GA,Georgia,RES,residential,12.34,6214.46102,cents per kilowatthour,million kilowatthours
2024-01,FL,Florida,RES,residential,14.79,10086.15997,cents per kilowatthour,million kilowatthours
2024-01,DC,District of Columbia,RES,residential,16.83,221.9637,cents per kilowatthour,million kilowatthours
2024-01,ME,Maine,RES,residential,25.89,475.46918,cents per kilowatthour,million kilowatthours
2024-01,LA,Louisiana,RES,residential,10.82,2861.46841,cents per kilowatthour,million kilowatthours
2024-01,KY,Kentucky,RES,residential,12.27,2997.58609,cents per kilowatthour,million kilowatthours
2024-01,KS,Kansas,RES,residential,13.04,1411.37767,cents per kilowatthour,million kilowatthours
2024-01,IA,Iowa,RES,residential,11.85,1591.6102,cents per kilowatthour,million kilowatthours
2024-01,IN,Indiana,RES,residential,13.75,3475.66336,cents per kilowatthour,million kilowatthours
2024-01,IL,Illinois,RES,residential,14.93,4361.44196,cents per kilowatthour,million kilowatthours
2024-01,ID,Idaho,RES,residential,10.79,1092.26494,cents per kilowatthour,million kilowatthours
2024-01,DE,Delaware,RES,residential,15.53,485.46645,cents per kilowatthour,million kilowatthours
2024-01,CT,Connecticut,RES,residential,27.4,1274.11719,cents per kilowatthour,million kilowatthours
2024-01,MTN,Mountain,RES,residential,13.33,9260.29734,cents per kilowatthour,million kilowatthours
2024-01,WSC,West South Central,RES,residential,13.17,21589.91589,cents per kilowatthour,million kilowatthours
2024-01,ESC,East South Central,RES,residential,12.83,13073.83641,cents per kilowatthour,million kilowatthours
2024-01,SAT,South Atlantic,RES,residential,13.95,36285.0935,cents per kilowatthour,million kilowatthours
2024-01,SD,South Dakota,RES,residential,11.18,578.52579,cents per kilowatthour,million kilowatthours
2024-01,SC,South Carolina,RES,residential,13.54,3332.35248,cents per kilowatthour,million kilowatthours
2024-01,RI,Rhode Island,RES,residential,31.22,288.58919,cents per kilowatthour,million kilowatthours
2024-01,PA,Pennsylvania,RES,residential,17.39,5691.81745,cents per kilowatthour,million kilowatthours
2024-01,OR,Oregon,RES,residential,13.84,2265.57987,cents per kilowatthour,million kilowatthours
2024-01,OK,Oklahoma,RES,residential,11.16,2316.54633,cents per kilowatthour,million kilowatthours
2024-01,WNC,West North Central,RES,residential,11.73,11854.50922,cents per kilowatthour,million kilowatthours
2024-01,ENC,East North Central,RES,residential,15.65,18530.3243,cents per kilowatthour,million kilowatthours
2024-01,MAT,Middle Atlantic,RES,residential,19.61,12689.83599,cents per kilowatthour,million kilowatthours
2024-01,NEW,New England,RES,residential,27.32,4603.39107,cents per kilowatthour,million kilowatthours
2024-01,WY,Wyoming,RES,residential,10.86,371.97937,cents per kilowatthour,million kilowatthours
2024-01,WI,Wisconsin,RES,residential,16.46,2202.54834,cents per kilowatthour,million kilowatthours
2024-01,WV,West Virginia,RES,residential,13.64,1301.739,cents per kilowatthour,million kilowatthours
2024-01,WA,Washington,RES,residential,11.09,4673.01713,cents per kilowatthour,million kilowatthours
2024-01,VA,Virginia,RES,residential,13.5,5063.59759,cents per kilowatthour,million kilowatthours
2024-01,VT,Vermont,RES,residential,20.98,229.32242,cents per kilowatthour,million kilowatthours
2024-01,UT,Utah,RES,residential,10.85,956.94621,cents per kilowatthour,million kilowatthours
2024-01,TX,Texas,RES,residential,14.25,14319.33943,cents per kilowatthour,million kilowatthours
2024-01,TN,Tennessee,RES,residential,12.05,4664.3975,cents per kilowatthour,million kilowatthours
2024-01,OH,Ohio,RES,residential,15.58,5373.8,cents per kilowatthour,million kilowatthours
